"Site","RemovTreat","Date","sumSpm2","AveSpm2","ComName","DateCode"
"102",0,"2012-06-01",3.375,0.124387254901961,"NativesNoPreds","Jun12"
"107",1,"2012-06-01",4.125,0.108630952380952,"NativesNoPreds","Jun12"
"108",0,"2012-06-01",4.625,0.171474358974359,"NativesNoPreds","Jun12"
"119",1,"2012-06-01",17.25,0.362847222222222,"NativesNoPreds","Jun12"
"71",0,"2012-06-01",10.8125,0.232291666666667,"NativesNoPreds","Jun12"
"73",0,"2012-06-01",5.25,0.202083333333333,"NativesNoPreds","Jun12"
"78",0,"2012-06-01",4.875,0.173245614035088,"NativesNoPreds","Jun12"
"84",0,"2012-06-01",2.25,0.15,"NativesNoPreds","Jun12"
"86",1,"2012-06-01",4.5625,0.132127192982456,"NativesNoPreds","Jun12"
"90",0,"2012-06-01",8.0625,0.2515625,"NativesNoPreds","Jun12"
"94",0,"2012-06-01",4.625,0.126358695652174,"NativesNoPreds","Jun12"
"99",1,"2012-06-01",7.9375,0.165246212121212,"NativesNoPreds","Jun12"
"F4",1,"2012-06-01",13.875,0.2975,"NativesNoPreds","Jun12"
"102",0,"2013-06-01",4.9375,0.157552083333333,"NativesNoPreds","Jun13"
"107",1,"2013-06-01",9.625,0.287109375,"NativesNoPreds","Jun13"
"108",0,"2013-06-01",2.375,0.0979166666666667,"NativesNoPreds","Jun13"
"119",1,"2013-06-01",6.25,0.199869791666667,"NativesNoPreds","Jun13"
"71",0,"2013-06-01",3.4375,0.134672619047619,"NativesNoPreds","Jun13"
"73",0,"2013-06-01",4.3125,0.169444444444444,"NativesNoPreds","Jun13"
"78",0,"2013-06-01",3.6875,0.15224358974359,"NativesNoPreds","Jun13"
"84",0,"2013-06-01",2.4375,0.130608974358974,"NativesNoPreds","Jun13"
"86",1,"2013-06-01",10.25,0.560416666666667,"NativesNoPreds","Jun13"
"90",0,"2013-06-01",6.4375,0.178977272727273,"NativesNoPreds","Jun13"
"94",0,"2013-06-01",5,0.123697916666667,"NativesNoPreds","Jun13"
"99",1,"2013-06-01",2.1875,0.12405303030303,"NativesNoPreds","Jun13"
"E3",1,"2013-06-01",8.6875,0.2046875,"NativesNoPreds","Jun13"
"F4",1,"2013-06-01",9.4375,0.2734375,"NativesNoPreds","Jun13"
"F5",1,"2013-06-01",9,0.207236842105263,"NativesNoPreds","Jun13"
"New2",1,"2013-06-01",3.875,0.148897058823529,"NativesNoPreds","Jun13"
